Catégorie de produits,Produit,Quantité restante,Prix de vente unitaire,Valeur marchande,Prix d'achat moyen,Valorisation,Code EAN,Type de stock,Taux de TVA
SHAMPOOING TECHNIQUE,Replumping shampooing,2,0,,32.1,64.2,8004608256687,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,Replumping conditionneur,1,0,,46.6,46.6,8004608240426,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,Nourishing  Shampooing,2,0,,32.1,64.2,8004608269106,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,Nourishing Keratin Wonder,1,0,,63,63,8004608269236,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,Nourishing Vegetarian Miracle mask,1,0,,46.6,46.6,8004608269144,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,Purifying Shampooing,1,0,,32.1,32.1,8004608236603,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,Well Being Shampooing,1,0,,32.1,32.1,8004608256632,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,Well Being Conditionneur,1,0,,46.6,46.6,8004608230779,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,Calming Shampooing,1,0,,32.1,32.1,8004608256649,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,OI - conditionneur,2,0,,53.6,107.2,8004608266501,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,OI Shampooing,2,0,,37.7,75.4,8004608247647,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,Alchemic conditionner argent,0,0,,0,0,8004608259084,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,OI - beurre,1,0,,56.9,56.9,8004608264583,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,Alchemic conditionner chocolat,0,0,,0,0,8004608259046,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,HEART OF GLASS Shampooing,1,0,,35.9,35.9,8004608271673,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,HEART OF GLASS Conditionneur,1,0,,55.4,55.4,8004608271703,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,HEART OF GLASS Conditionneur,0,0,,0,0,8004608271710,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,HEART OF GLASS Treatment,1,0,,45.2,45.2,8004608271734,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,Balayage Deco Powder,1,0,,38.1,38.1,8004608261957,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,Nourishing Vegetarian Miracle conditionneur,1,0,,41.2,41.2,8004608269243,Stock technique,20.00 %
SHAMPOOING TECHNIQUE,Replumping Hair Filler,0,0,,0,0,8004608240457,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 1 75ml/2.65oz,1,0,,13.55,13.55,8007376050006,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 3 75ml/2.65oz,7,0,,13.55,94.85,8007376050013,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 5 75ml/2.65oz,6,0,,13.55,81.3,8007376050037,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 5.1 75ml/2.65oz0,3,0,,13.55,40.65,8007376050129,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 5.12 75ml/2.65oz,6,0,,13.55,81.3,8007376050297,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 5.20 75ml/2.65oz,3,0,,13.55,40.65,8007376050303,Stock technique,20.00 %
